V mag.,Proper Name,Bayer designation,Distance,Spectral class,Mass,Radius,Luminosity,g
5.88,54 Piscium,Psc,36.1,K0,0.76,0.94,0.52,59.044535966173825 m/s^2
6.57,Mira,nan,300.0,M7,1.2,370,9000,0.0006017271767295897 m/s^2
6.65,RW Cephei,Cep,14000.0,K2,13.9,1158,417000,0.0007115730809269201 m/s^2
6.67,Lacaille 8760,Mic,12.87,M0,0.6,0.51,0.072,158.35534504859828 m/s^2
6.75,V838 Monocerotis,Mon,19896.0,M6,?,380 - 750,15000,undefined
7.25,HD 140283,Lib,190.0,F?,?,1.4,3.83,undefined
7.4,II Pegasi,Peg,130.0,K2,0.8,3.4,1.06,4.750660351457949 m/s^2
8.05,VY Canis Majoris,CMa,3900.0,M5,17,1420,178000 - 270000,0.0005787540742588996 m/s^2
8.3,Pistol Star,Sgr,25000.0,B3,100,320,1700000,0.06703812702985093 m/s^2
8.6,S Doradus,Dor,169000.0,B8,24,380,910000,0.01140948067787823 m/s^2
8.9,UY Scuti,Sct,5100.0,M4,7–10,755,86300 - 87100,undefined
9.5,Barnard's Star,Oph,5.98,M4,0.14,0.20,0.0035,240.26464727498578 m/s^2
10.7,Luhman 16,Vel,6.52,L7,0.04,?,?,undefined
11.13,Proxima Centauri,Cen,4.25,M6,0.12,0.15,0.0017,366.1175577523593 m/s^2
11.71,KIC 8462852,Cyg,1470.0,F3,1.43,1.58,4.68,39.32273280417855 m/s^2
12.23,R136a1,Dor,163000.0,WN5,290,32,8710000,19.441056838656774 m/s^2
12.78,Melnick 42,Dor,163000.0,O2,189,21.1,3600000,29.14195762190703 m/s^2
14.10,WR 102,Sag,18134.0,WO2,19,0.39,282000,8575.238655442341 m/s^2
14.38,VFTS 352,Dor,164000.0,O5,57.48,14.47,330000,18.845233632466243 m/s^2
14.68,YBP 1194,Cnc,2772.0,G5,1.01,0.99,0.98,70.74126364590657 m/s^2
14.71,Gliese 1214,Oph,47.5,M4.5,0.16,0.21,0.0033,249.05956309684308 m/s^2
16.6,NML Cygni,Cyg,5251.0,M6,50,1640 - 2770,229000,undefined
17.30,VB 10,Aql,18.72,M8,0.075,0.10,0.0004,514.8528155892552 m/s^2
18.46,WOH G64,Dor,163000.0,M5,<20,1540 - 1730,340-589000,undefined
18.80,TRAPPIST-1,Aqr,39.6,M8,0.089,0.12,0.0005,424.2768572911455 m/s^2
21.05,2MASS J0523-1403,Lep,40.3,L2.5,0.07,0.086,0.00013,649.7151089101834 m/s^2
25,WISE 0855−0714,Hya,7.27,Y2,0.003,?,?,undefined
28.4,Icarus,Leo,14400000000.0,B?,33,?,850000,undefined
