Star,Constellation,Right ascension,Declination,App. mag.,Distance (ly),Spectral type,Brown dwarf
2MASS J00274197+0503417,Pisces,0h 27m 41.97s,5° 3′ 41.7″,-,236,M9.5β
2MASS J00275592+2219328,Andromeda,0h 27m 55.92s,22° 19′ 32.8″,-,46.9,M8,-
2MASSW J0030300-145033,Cetus,0h 30m 30.13s,−14° 50′ 33.3″,-,87.2,L7
2MASS J00332386-1521309,Cetus,0h 33m 23.86s,−15° 21′ ″,-,131,L1-L4β
2MASS J00345157+0523050,Pisces,0h 34m 51.57s,5° 23′ 5″,-,31,T6.5
2MASS 0036+1821,Pisces,0h 36m 16.17s,18° 21′ 10.4″,12.47,28.6,L3.5
2MASSW J0045214+163445,Pisces,0h 45m 21.43s,16° 34′ 44.6″,-,57,L2β
WISEP J004701.06+680352.1,Cassiopeia,0h 47m 0.38s,68° 3′ 54.3″,-,40,L7.5p
2MASS J00501994-3322402,Sculptor,0h 50m 19.94s,−33° 22′ 40.2″,-,34,T7
2MASS J00034227-2822410,Sculptor,0h 55m 39.72s,−28° 22′ 42″,-,-,M7.5,-
2MASS J00584253-0651239,Cetus,0h 58m 42.53s,−6° 51′ 23.9″,-,96,L0β
CFBDS J005910.90–011401.3,Cetus,0h 59m 10.83s,−1° 14′ 1.3″,18.08,30,T8.5
2MASSI J0103320+193536,Pisces,1h 3m 32.03s,19° ′ 35″,-,70,L6β
SDSSp J010752.33+004156.1,Cetus,1h 7m 52.42s,−0° 41′ 56.3″,-,51,L8
2MASSI J0117474-340325,Sculptor,1h 17m 47.48s,−34° 3′ 25.8″,-,163,L2:
2MASS J01415823-4633574,Phoenix,1h 41m 58.23s,−46° 33′ 57.4″,-,130,L0γ
SDSS J015141.69+124429.6,-,1h 51m 41.55s,12° 44′ 30″,-,70,T1
DENIS-P J020529.0−115925,Cetus,2h 5m 29.401s,−11° 59′ 29.67″,-,65,L5.5,-
DENIS-P J020529.0−115925,Cetus,2h 5m 29.401s,−11° 59′ 29.67″,-,65,L8,-
DENIS-P J020529.0−115925,Cetus,2h 5m 29.401s,−11° 59′ 29.67″,-,65,T0,-
SDSS J020742.48+000056.2,Cetus,2h 7m 42.84s,−0° 0′ 56.4″,-,111,T4.5
2MASS J02103857-3015313,-,2h 10m 38.57s,−30° 15′ 31.3″,-,101,L0γ
2MASS J02340093-6442068,-,2h 34m 0.93s,−64° 42′ 6.8″,-,155,L0γ
2MASS J02411151-0326587,Cetus,2h 41m 11.51s,−3° 26′ 58.7″,-,152,L0γ
2MASS J02431371−2453298,Fornax,2h 43m 13.71s,−24° 53′ 29.8″,-,35,T6
LP 771-21,-,2h 48m 41s,−16° 51′ 21.6″,-,53,M8
2MASS J02511327+0047364,-,2h 51m 13.27s,−0° 47′ 36.4″,-,-,M8,-
Teegarden's star,Aries,2h 53m 0.84s,+16° 52′ 53.2″,15.40,12.578,M7
2MASS J02535980+3206373,-,2h 53m 59.8s,32° 6′ 37.3″,-,184,M7β
WISE J0254+0223,Cetus,2h 54m 9.45s,2° 23′ 59.1″,16.01,24,T8
DEN 0255-4700,Eridanus,2h 55m 3.57s,−47° 0′ 50.9″,22.92,16.2,L8
2MASS J03185403-3421292,Fornax,3h 18m 54.03s,−34° 21′ 29.2″,-,45,L7
2MASS J03205965+1854233,-,3h 20m 59.65s,18° 54′ 23.3″,-,47,M8
2MASS J03231002-4631237,-,3h 23m 10.02s,−46° 31′ 23.7″,-,192,L0γ
SDSS J032553.17+042540.1,-,3h 25m 53.22s,4° 25′ 40.6″,-,59,T5.5
2MASS J03264225-2102057,Eridanus,3h 26m 42.25s,−21° 2′ 5.7″,-,80,L5γ
2MASS J03284265+2302051,Taurus,3h 28m 42.65s,23° 2′ 5.1″,-,98,L8
2MASS J03341218-4953322,-,3h 34m 12.18s,−49° 53′ 32.2″,-,27.0,M9
LP 944-20,Fornax,3h 39m 35.22s,−35° 25′ 44″,10.725,20.9,M9β
2MASP J0345432+254023,-,3h 45m 43.16s,25° 40′ 23.3″,-,88,L0
Teide 1,Taurus,3h 47m 18s,+24° 22′ 31″,-,380,M8
2MASS J03510004-0052452,-,3h 51m 0.04s,−0° 52′ 45.2″,-,48,M8
2MASS J03552337+1133437,Taurus,3h 55m 23.37s,11° 33′ 43.7″,14.05,29.8,L5γ
DENIS-P J035726.9-441730,Horologium,3h 57m 26.95s,−44° 17′ 30.5″,14.37,130,L0β,-
2MASS J04151954−0935066,Eridanus,4h 15m 19.54s,−9° 35′ 6.6″,15.7,18.6,T8
SDSSp J042348.57-041403.5,Eridanus,4h 23m 48.58s,−4° 14′ 3.5″,14.5,50,L7.5,-
2MASS J04285096-2253227,Eridanus,4h 28m 50.96s,−22° 53′ 22.7″,-,85,L0.5
2MASS J04351612-1606574,-,4h 35m 16.13s,−16° 6′ 57.5″,-,34,M7
2MASS J04362788-4114465,-,4h 36m 27.88s,−41° 14′ 46.5″,-,142,M8βγ
2MASS J04390101-2353083,Eridanus,4h 39m 1.01s,−23° 53′ 8.3″,-,29.5,L6.5
2MASS J04414489+2301513,-,4h 41m 44.9s,23° 1′ 58.07″,-,470,M8.5
2MASS J04433764+0002040,-,4h 43m 37.61s,−0° 2′ 5.1″,-,82,M9γ
2MASS J04455387-3048204,Caelum,4h 45m 53.87s,−30° 48′ 20.4″,-,42,L2
2MASS J04510093-3402150,Caelum,4h 51m 0.93s,−34° 2′ 15″,-,69,L0.5,1.04
2MASS J05002100+0330501,Orion,5h 0m 21s,3° 30′ 50.1″,-,44,L4
